n_estimaters,depth,accuracy,f1,num_topics
250,16,0.570666667,0.570700044,21
200,16,0.57,0.549765231,12
200,18,0.57,0.549765231,12
200,20,0.57,0.549765231,12
200,22,0.57,0.549765231,12
200,24,0.57,0.549765231,12
200,26,0.57,0.549765231,12
200,28,0.57,0.549765231,12
250,16,0.57,0.555092905,18
200,16,0.57,0.569988124,21
200,18,0.57,0.569988124,21
200,20,0.57,0.569988124,21
200,22,0.57,0.569988124,21
200,24,0.57,0.569988124,21
200,26,0.57,0.569988124,21
200,28,0.57,0.569988124,21
200,16,0.57,0.561727362,25
200,18,0.57,0.561727362,25
200,20,0.57,0.561727362,25
250,20,0.57,0.561727362,25
200,22,0.57,0.561727362,25
250,22,0.57,0.561727362,25
200,24,0.57,0.561727362,25
250,24,0.57,0.561727362,25
200,26,0.57,0.561727362,25
250,26,0.57,0.561727362,25
200,28,0.57,0.561727362,25
250,28,0.57,0.561727362,25
100,4,0.569333333,0.493041222,6
200,4,0.569333333,0.493041222,6
250,4,0.569333333,0.493253576,6
200,14,0.569333333,0.548738858,12
250,14,0.569333333,0.548738858,12
250,16,0.569333333,0.548738858,12
250,18,0.569333333,0.548738858,12
250,20,0.569333333,0.548738858,12
250,22,0.569333333,0.548738858,12
250,24,0.569333333,0.548738858,12
250,26,0.569333333,0.548738858,12
250,28,0.569333333,0.548738858,12
250,10,0.568666667,0.534786636,12
200,14,0.568,0.567847859,21
150,18,0.568,0.568090914,21
150,20,0.568,0.568090914,21
150,22,0.568,0.568090914,21
150,24,0.568,0.568090914,21
150,26,0.568,0.568090914,21
150,28,0.568,0.568090914,21
100,14,0.567333333,0.552336823,17
200,14,0.567333333,0.552587058,17
100,16,0.567333333,0.552336823,17
100,18,0.567333333,0.552341882,17
100,20,0.567333333,0.552341882,17
100,22,0.567333333,0.552341882,17
100,24,0.567333333,0.552341882,17
100,26,0.567333333,0.552341882,17
100,28,0.567333333,0.552341882,17
100,10,0.567333333,0.539915569,18
100,2,0.567333333,0.531574709,25
200,12,0.566666667,0.546467702,12
100,16,0.566666667,0.546467702,12
100,18,0.566666667,0.546467702,12
100,20,0.566666667,0.546467702,12
100,22,0.566666667,0.546467702,12
100,24,0.566666667,0.546467702,12
100,26,0.566666667,0.546467702,12
100,28,0.566666667,0.546467702,12
200,6,0.566666667,0.537796788,17
150,2,0.566666667,0.517550032,19
200,8,0.566666667,0.53788094,22
250,8,0.566666667,0.53788094,22
100,10,0.566666667,0.53683558,22
200,10,0.566666667,0.564395587,28
200,2,0.566,0.553421286,5
250,2,0.566,0.553421286,5
250,10,0.565333333,0.54194749,16
150,16,0.565333333,0.5649835,21
150,14,0.565333333,0.557107694,25
100,12,0.564,0.540508492,11
150,6,0.564,0.537612818,17
150,10,0.563333333,0.541228335,16
150,2,0.563333333,0.529704991,22
200,2,0.563333333,0.529704991,22
250,2,0.563333333,0.529704991,22
200,10,0.562666667,0.538350419,16
250,16,0.562666667,0.540379542,16
100,6,0.562666667,0.529875224,18
100,10,0.562666667,0.554390729,25
150,12,0.562,0.538602232,11
150,14,0.562,0.538602232,11
150,16,0.562,0.538602232,11
150,18,0.562,0.538602232,11
150,20,0.562,0.538602232,11
150,22,0.562,0.538602232,11
150,24,0.562,0.538602232,11
150,26,0.562,0.538602232,11
150,28,0.562,0.538602232,11
150,10,0.562,0.52894333,12
150,6,0.562,0.529507586,18
200,6,0.562,0.529507586,18
250,6,0.562,0.529507586,18
200,10,0.562,0.535145162,18
250,10,0.562,0.535253196,18
250,16,0.562,0.554514049,25
100,10,0.561333333,0.533215559,11
150,8,0.561333333,0.532634323,22
150,10,0.561333333,0.549770048,26
250,10,0.560666667,0.541917705,17
250,10,0.560666667,0.53238353,22
250,10,0.560666667,0.552129571,25
100,4,0.559333333,0.539134438,16
150,12,0.559333333,0.545400412,18
200,12,0.559333333,0.545400412,18
100,16,0.559333333,0.545840607,25
100,12,0.558666667,0.539631589,12
150,12,0.558666667,0.539631589,12
100,10,0.558666667,0.545949944,26
250,14,0.558,0.538167869,18
200,8,0.558,0.5481392,28
250,8,0.558,0.545139651,28
200,12,0.557333333,0.539367685,17
250,12,0.557333333,0.539367685,17
250,14,0.557333333,0.539045271,17
250,16,0.557333333,0.539390914,17
250,18,0.557333333,0.539390914,17
250,20,0.557333333,0.539390914,17
250,22,0.557333333,0.539390914,17
250,24,0.557333333,0.539390914,17
250,26,0.557333333,0.539390914,17
250,28,0.557333333,0.539390914,17
100,14,0.557333333,0.549022672,18
200,16,0.557333333,0.543574404,18
200,18,0.557333333,0.543574404,18
200,20,0.557333333,0.543574404,18
200,22,0.557333333,0.543574404,18
